RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Jabari Smith Jr.,Hou,*,F,22.5,10,32.0,17.9,7.7,23,0.826,65,0.538,55,0.364,0.542,0.573,14.9,6.0,1.8,0.8,0.8,1.0,20.9,16.7,22.7,6.8,126.4,109.8
,Alperen Sengun,Hou,*,C,23.3,11,36.1,24.7,17.0,78,0.731,134,0.515,37,0.459,0.553,0.599,22.4,10.2,7.4,1.4,0.9,3.2,32.5,29.7,39.9,13.2,128.0,106.2
,Steven Adams,Hou,*,C,32.3,10,21.2,11.6,19.5,21,0.762,41,0.585,0,0.0,0.585,0.637,6.4,9.0,1.6,0.8,0.8,1.0,15.4,8.0,17.0,8.5,143.4,104.9
,Kevin Durant,Hou,*,F,37.1,11,35.3,26.2,14.5,82,0.878,135,0.533,47,0.426,0.56,0.633,25.1,4.6,3.2,1.1,0.6,2.8,29.7,28.3,32.9,8.1,126.2,110.0
,Amen Thompson,Hou,*,G-F,22.8,11,35.2,21.6,14.2,50,0.74,129,0.543,28,0.214,0.503,0.545,17.7,5.7,5.5,1.4,0.5,2.4,23.5,23.2,28.9,9.3,121.3,111.9
,Tari Eason,Hou,*,F,24.5,11,23.2,18.8,16.6,7,0.714,42,0.476,53,0.509,0.637,0.642,11.5,5.2,1.6,0.8,0.5,1.7,16.6,13.1,18.3,7.9,122.1,109.4
,Reed Sheppard,Hou,*,G,21.4,11,22.4,20.1,12.7,7,0.571,38,0.5,65,0.477,0.636,0.636,12.3,2.3,3.2,1.6,0.4,1.4,14.5,15.5,17.7,8.0,129.3,108.6
,Clint Capela,Hou,*,C,31.5,11,9.9,12.6,13.6,10,0.8,25,0.64,0,0.0,0.64,0.68,3.6,4.5,0.4,0.3,0.5,0.4,8.1,4.0,8.5,7.5,150.9,105.0
,Josh Okogie,Hou,*,G,27.2,11,22.7,12.9,9.9,20,0.85,28,0.536,35,0.457,0.619,0.662,8.6,2.3,1.3,1.5,0.2,0.6,10.9,9.9,12.2,5.2,141.1,108.3
,Luguentz Dort,Okc,*,G,26.6,8,30.6,12.0,9.3,10,0.9,20,0.5,38,0.211,0.379,0.425,6.6,4.9,1.5,0.9,0.1,0.8,11.5,8.1,13.0,4.8,101.7,101.8
,Chet Holmgren,Okc,*,C-F,23.5,10,29.6,23.2,15.1,47,0.872,77,0.675,41,0.39,0.644,0.696,19.3,8.2,1.8,0.7,1.3,2.1,27.5,21.1,29.3,8.9,127.1,93.1
,Isaiah Hartenstein,Okc,*,C-F,27.5,14,28.6,16.9,20.9,33,0.667,110,0.709,3,0.0,0.69,0.698,12.7,11.2,3.1,1.3,0.6,2.1,23.9,15.8,27.0,10.6,132.2,93.1
,Cason Wallace,Okc,*,G,22.0,13,29.1,13.0,12.7,11,0.909,41,0.463,55,0.382,0.526,0.55,8.5,3.2,2.8,2.3,0.3,1.1,11.7,11.3,14.5,5.8,113.8,99.8
,Shai Gilgeous-Alexander,Okc,*,G,27.3,14,33.6,34.0,7.2,126,0.897,211,0.592,83,0.373,0.583,0.652,32.6,5.1,6.6,1.4,0.9,1.6,37.6,39.2,44.3,12.3,134.6,103.4
,Jaylin Williams,Okc,*,F,23.4,13,19.0,14.6,12.3,7,0.714,8,0.875,63,0.27,0.458,0.472,5.4,4.8,2.4,0.6,0.6,0.8,10.2,7.8,12.5,8.3,105.4,97.8
,Aaron Wiggins,Okc,*,G,26.9,9,27.6,21.4,7.5,9,0.667,51,0.51,60,0.417,0.572,0.578,14.8,3.7,2.2,0.4,0.8,1.0,18.4,17.0,20.7,7.2,115.9,103.2
,Alex Caruso,Okc,*,G,31.7,10,18.3,14.9,14.7,6,0.833,17,0.412,35,0.371,0.51,0.531,5.8,2.1,2.4,1.9,0.3,0.9,7.9,8.2,10.3,6.7,107.8,102.4
,Brooks Barnhizer,Okc,*,G,23.7,12,8.0,7.1,7.0,4,0.5,12,0.5,1,0.0,0.462,0.474,1.2,2.1,0.3,0.2,0.2,0.1,3.3,1.4,3.5,4.6,116.6,97.8
,Ajay Mitchell,Okc,*,G,23.4,14,28.3,25.3,11.8,50,0.92,133,0.504,53,0.34,0.505,0.563,16.7,4.0,3.9,1.8,0.3,1.8,20.7,20.6,24.6,9.0,113.9,99.2
,Chris Youngblood,Okc,*,G,23.8,12,5.3,11.3,0.0,6,1.0,1,0.0,13,0.231,0.321,0.451,1.3,0.5,0.2,0.1,0.0,0.0,1.8,1.4,1.9,3.8,112.5,95.6
,Jimmy Butler,Gol,*,F,36.2,13,30.8,22.0,9.8,98,0.857,116,0.534,31,0.452,0.565,0.657,19.2,5.6,4.4,1.5,0.3,1.2,24.8,23.6,29.2,10.1,140.8,112.9
,Jonathan Kuminga,Gol,*,F,23.1,13,27.7,22.8,20.4,48,0.771,99,0.535,37,0.324,0.522,0.57,13.8,6.6,2.8,0.4,0.3,2.7,20.4,16.6,23.2,9.2,105.8,109.8
,Draymond Green,Gol,*,F,35.7,13,28.4,15.8,30.9,17,0.588,35,0.457,54,0.352,0.5,0.513,7.6,5.5,5.7,0.7,0.7,3.1,13.2,13.3,18.8,8.7,97.4,103.0
,Brandin Podziemski,Gol,*,G,22.7,14,28.6,17.2,12.7,28,0.75,64,0.5,66,0.379,0.535,0.562,11.4,4.6,3.1,1.4,0.4,1.4,16.1,14.6,19.2,7.6,111.4,107.3
,Stephen Curry,Gol,*,G,37.7,11,30.8,34.6,11.5,70,0.943,88,0.591,128,0.391,0.588,0.648,29.1,3.5,3.7,1.5,0.5,2.5,32.6,32.8,36.4,9.4,120.4,109.5
,Buddy Hield,Gol,*,G,32.9,14,16.6,18.1,15.0,13,0.923,29,0.621,50,0.3,0.513,0.549,6.6,1.6,1.6,0.7,0.0,1.0,8.2,8.2,9.8,6.2,105.2,110.2
,Gary Payton II,Gol,*,G,33.0,13,9.7,14.3,19.0,0,0.0,19,0.632,15,0.2,0.485,0.485,2.5,2.6,1.2,0.6,0.2,0.6,5.2,3.7,6.3,8.2,106.0,104.0
,Al Horford,Gol,*,C-F,39.5,9,21.8,14.6,17.9,0,0.0,17,0.353,38,0.316,0.436,0.436,5.3,4.1,1.3,0.7,1.1,1.3,9.4,6.7,10.8,5.6,87.1,108.5
,Gui Santos,Gol,*,F,23.4,11,6.6,14.1,21.5,2,0.5,5,0.8,13,0.308,0.556,0.556,1.9,1.5,0.2,0.4,0.0,0.5,3.4,2.1,3.5,5.0,104.6,97.4
,Will Richard,Gol,*,G,22.9,12,17.9,16.9,10.6,23,0.783,28,0.786,39,0.436,0.709,0.733,9.4,2.1,1.3,1.2,0.1,0.7,11.5,10.8,12.8,6.6,139.4,104.0
,Quinten Post,Gol,*,C,25.7,14,14.6,15.7,12.3,5,0.8,19,0.632,45,0.378,0.586,0.597,5.6,3.6,0.9,0.4,0.6,0.6,9.2,6.6,10.1,7.2,115.2,107.6
,Austin Reaves,Lal,*,G,27.5,11,36.3,30.2,15.8,105,0.867,106,0.613,91,0.33,0.558,0.639,28.3,5.1,8.2,1.4,0.1,3.4,33.4,36.5,41.5,11.7,126.1,111.2
,Rui Hachimura,Lal,*,F,27.8,13,34.6,15.9,10.4,30,0.733,85,0.624,52,0.5,0.672,0.686,15.8,3.8,1.2,0.7,0.2,1.2,19.6,17.1,20.8,4.8,126.3,114.5
,Deandre Ayton,Lal,*,C,27.3,13,30.4,20.5,19.6,21,0.619,143,0.692,0,0.0,0.692,0.693,16.2,8.4,0.9,0.7,0.9,2.7,24.6,17.2,25.5,6.5,117.4,106.0
,Gabe Vincent,Lal,*,G,29.4,3,23.9,9.8,13.0,3,1.0,3,0.333,10,0.2,0.308,0.384,3.7,1.0,2.3,1.0,0.0,0.7,4.7,6.0,7.0,3.4,96.1,110.7
,Luka Doncic,Lal,*,F-G,26.7,10,37.1,36.8,14.0,122,0.787,116,0.603,110,0.327,0.549,0.615,34.4,8.9,8.9,1.7,0.6,3.7,43.3,43.3,52.2,15.1,123.2,108.0
,Marcus Smart,Lal,*,G,31.7,11,29.2,17.1,22.9,32,0.938,35,0.657,52,0.231,0.471,0.554,10.2,2.4,3.4,2.1,0.2,2.4,12.5,13.5,15.9,6.0,104.0,107.4
,Jake LaRavia,Lal,*,F,24.0,14,28.8,15.3,14.1,36,0.667,64,0.578,45,0.333,0.546,0.573,10.2,4.5,2.4,1.5,0.3,1.3,14.7,12.6,17.1,6.7,116.3,108.5
,Jaxson Hayes,Lal,*,C-F,25.5,11,16.8,10.7,14.5,11,0.636,34,0.676,1,1.0,0.7,0.703,5.1,4.2,1.2,0.4,0.5,0.5,9.3,6.3,10.5,7.0,139.9,107.8
,Jarred Vanderbilt,Lal,*,F,26.6,14,18.4,13.5,30.4,19,0.842,36,0.5,14,0.286,0.48,0.548,4.6,5.6,1.5,1.0,0.4,1.6,10.1,6.1,11.6,7.3,102.8,103.0
,Evan Mobley,Cle,*,C,24.4,13,34.1,23.3,14.4,78,0.628,126,0.524,64,0.359,0.529,0.557,19.2,9.0,4.2,1.3,1.6,2.5,28.2,23.4,32.4,10.5,114.1,109.4
,Jaylon Tyson,Cle,*,G-F,23.0,11,25.8,15.2,10.9,13,0.769,38,0.526,52,0.462,0.622,0.637,11.1,4.0,1.8,1.3,0.8,1.0,15.1,12.9,16.9,6.7,125.5,102.9
,Jarrett Allen,Cle,*,C,27.6,12,25.9,21.6,13.5,60,0.75,117,0.607,4,0.0,0.587,0.634,15.6,7.8,1.8,1.2,0.9,1.6,23.3,17.3,25.1,9.3,125.2,109.4
,Sam Merrill,Cle,*,G,29.5,11,25.8,17.4,7.8,16,0.938,16,0.563,90,0.422,0.623,0.65,13.4,1.8,2.5,0.5,0.2,0.8,15.2,15.8,17.6,6.1,131.0,109.4
,Donovan Mitchell,Cle,*,G,29.2,12,33.9,32.0,14.1,90,0.833,117,0.624,126,0.381,0.597,0.646,30.4,4.6,5.4,1.5,0.5,3.3,35.0,35.8,40.4,10.7,122.1,111.9
,Dean Wade,Cle,*,F-C,29.0,13,21.8,10.5,5.8,12,0.75,17,0.529,48,0.313,0.485,0.512,5.5,3.4,1.3,0.7,0.5,0.3,8.9,6.8,10.2,5.3,118.4,110.7
,Lonzo Ball,Cle,*,G,28.1,11,23.0,15.1,28.5,8,0.75,12,0.417,53,0.34,0.492,0.511,6.4,4.0,5.4,1.0,0.2,2.4,10.4,11.7,15.7,9.0,105.8,110.1
,Craig Porter,Cle,*,G,25.7,14,17.1,13.0,16.6,12,0.5,35,0.543,25,0.44,0.592,0.59,5.5,2.9,2.6,1.0,0.6,0.9,8.4,8.1,11.1,8.1,126.4,112.0
,Larry Nance Jr.,Cle,*,F-C,32.9,12,15.1,14.1,14.5,3,0.333,27,0.407,26,0.269,0.406,0.405,3.7,3.2,1.3,0.5,0.2,0.8,6.8,5.0,8.2,6.6,92.3,97.7
,Tyrese Proctor,Cle,*,G,21.6,12,11.9,20.1,8.8,7,0.857,21,0.429,41,0.293,0.435,0.461,5.0,1.0,1.2,0.3,0.0,0.5,6.0,6.2,7.2,6.1,99.0,105.9
,O.G. Anunoby,Nyk,*,F-G,28.3,12,31.1,19.7,13.0,25,0.76,68,0.574,79,0.392,0.582,0.601,15.8,5.6,2.2,1.9,0.7,1.8,21.4,18.0,23.6,7.5,117.7,109.2
,Karl-Anthony Towns,Nyk,*,C-F,30.0,12,33.1,26.1,13.7,79,0.899,120,0.492,69,0.348,0.503,0.583,21.8,12.5,3.3,1.0,0.9,2.5,34.3,25.1,37.6,11.7,122.0,102.9
,Ariel Hukporti,Nyk,*,C,23.6,8,7.0,9.5,38.5,0,0.0,8,0.5,0,0.0,0.5,0.5,1.0,2.1,0.6,0.1,0.3,0.6,3.1,1.6,3.8,6.2,100.6,101.2
,Mikal Bridges,Nyk,*,G-F,29.2,12,34.7,16.1,7.1,20,0.85,72,0.556,72,0.417,0.59,0.612,15.6,4.5,4.9,2.0,0.9,0.9,20.1,20.5,25.0,8.1,135.9,111.8
,Jalen Brunson,Nyk,*,G,29.2,11,34.0,31.9,11.6,73,0.863,145,0.524,84,0.369,0.535,0.59,28.0,3.5,6.5,0.8,0.0,2.7,31.5,34.5,38.1,10.1,122.5,112.5
,Guerschon Yabusele,Nyk,*,F,29.9,11,9.7,13.7,6.0,6,0.5,9,0.333,22,0.318,0.435,0.446,2.7,2.5,0.4,0.2,0.1,0.2,5.2,3.1,5.5,5.7,113.6,106.4
,Miles McBride,Nyk,*,G,25.2,10,22.8,15.8,9.5,9,0.667,26,0.423,50,0.38,0.52,0.532,8.5,2.5,2.7,0.9,0.1,0.8,11.0,11.2,13.7,6.8,119.1,113.3
,Trey Jemison,Nyk,*,C,26.0,1,7.7,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,121.8
,Landry Shamet,Nyk,*,G,28.7,12,20.7,15.3,7.3,25,0.84,20,0.6,56,0.446,0.651,0.69,10.0,2.0,0.9,0.4,0.1,0.5,12.0,10.9,12.9,5.1,139.1,115.2
,Jordan Clarkson,Nyk,*,G,33.4,12,17.3,22.2,10.6,22,0.864,43,0.558,49,0.388,0.571,0.61,10.3,1.8,1.6,0.3,0.2,0.9,12.1,11.9,13.7,7.2,124.5,110.1
,Tyler Kolek,Nyk,*,G,24.6,10,6.7,18.4,20.0,0,0.0,11,0.636,13,0.231,0.479,0.479,2.3,0.5,1.3,0.1,0.0,0.6,2.8,3.6,4.1,6.8,101.7,107.8
,Terance Mann,Bro,*,G-F,29.1,12,26.9,14.3,8.8,17,0.824,58,0.569,35,0.371,0.565,0.592,9.9,2.8,3.2,0.9,0.3,0.8,12.7,13.1,15.8,6.6,129.2,117.8
,Michael Porter Jr.,Bro,*,F,27.4,11,32.4,29.2,11.5,45,0.844,102,0.569,98,0.347,0.545,0.582,23.3,7.7,3.0,0.7,0.2,2.4,31.0,26.3,34.0,10.0,112.6,118.9
,Nic Claxton,Bro,*,C,26.6,12,29.3,18.8,11.4,57,0.702,110,0.636,6,0.0,0.603,0.638,15.0,6.9,3.7,0.9,1.2,1.3,21.9,18.7,25.6,9.9,135.2,118.3
,Cam Thomas,Bro,*,G,24.1,8,28.3,32.2,10.8,55,0.873,87,0.425,45,0.356,0.462,0.544,21.3,1.4,2.6,0.5,0.1,2.0,22.6,23.9,25.3,6.0,109.1,125.4
,Ben Saraf,Bro,*,G,19.6,7,13.8,17.3,24.8,8,0.75,14,0.286,13,0.231,0.315,0.377,3.3,1.9,2.4,0.3,0.0,1.3,5.1,5.7,7.6,7.2,85.3,115.4
,Ziaire Williams,Bro,*,F,24.2,10,22.1,18.4,9.2,21,0.81,21,0.619,58,0.31,0.506,0.55,9.7,2.4,0.5,1.0,0.4,0.8,12.1,10.2,12.6,4.1,109.4,117.5
,Egor Demin,Bro,*,G,19.7,11,20.6,17.0,19.5,9,0.889,17,0.412,53,0.358,0.507,0.534,7.2,3.2,3.2,0.8,0.2,1.5,10.4,10.4,13.5,8.1,105.3,119.1
,Day'Ron Sharpe,Bro,*,C,24.0,11,15.7,18.1,34.8,25,0.64,31,0.742,10,0.3,0.671,0.683,6.5,5.3,1.8,0.9,0.5,2.0,11.7,8.3,13.5,10.1,116.0,108.4
,Noah Clowney,Bro,*,F-C,21.3,12,24.7,18.5,17.8,40,0.825,24,0.5,68,0.265,0.424,0.506,9.3,3.9,1.8,0.6,0.3,1.7,13.2,11.1,15.0,6.5,100.7,120.5
,Tyrese Martin,Bro,*,F,26.7,12,20.7,17.1,12.3,8,0.625,34,0.412,51,0.275,0.412,0.424,6.3,3.3,2.3,0.5,0.1,1.0,9.5,8.6,11.8,7.0,96.2,124.7
,Jalen Wilson,Bro,*,F,25.0,10,17.1,16.3,13.3,13,0.769,17,0.294,35,0.429,0.529,0.563,6.5,1.1,0.7,0.2,0.0,0.8,7.6,7.2,8.3,4.0,105.5,122.8
,Drake Powell,Bro,*,G-F,20.2,6,17.5,14.8,22.0,2,1.0,18,0.556,10,0.5,0.625,0.641,6.2,2.0,2.0,0.8,0.2,1.3,8.2,8.2,10.2,6.7,111.6,117.9
,Nolan Traore,Bro,*,G,19.5,3,11.0,15.2,17.8,2,0.5,3,0.0,6,0.333,0.333,0.354,2.3,0.3,1.3,0.7,0.0,0.7,2.7,3.7,4.0,3.5,78.9,113.9
,Kon Knueppel,Cha,*,G-F,20.3,13,32.7,21.1,15.9,32,0.875,67,0.537,102,0.402,0.577,0.609,17.2,5.9,2.8,0.7,0.2,2.5,23.1,20.0,25.9,8.0,112.8,114.9
,Miles Bridges,Cha,*,F,27.7,13,35.0,24.6,7.8,62,0.903,105,0.486,118,0.364,0.518,0.573,22.1,6.9,4.0,0.5,0.4,1.5,29.0,26.1,33.0,9.7,122.7,116.7
,Ryan Kalkbrenner,Cha,*,C,23.8,12,26.5,12.2,23.2,17,0.824,65,0.831,1,0.0,0.818,0.83,10.2,6.8,0.4,1.0,2.3,1.7,17.0,10.6,17.4,4.6,138.7,112.9
,Brandon Miller,Cha,*,F,23.0,2,19.9,34.0,10.6,10,0.7,14,0.571,11,0.182,0.44,0.493,14.5,0.0,4.0,0.0,0.5,1.5,14.5,18.5,18.5,0.0,107.0,114.2
,LaMelo Ball,Cha,*,G,24.2,7,32.5,30.6,15.6,32,0.813,63,0.508,66,0.333,0.504,0.545,22.3,7.1,9.9,1.6,0.1,3.4,29.4,32.1,39.3,14.3,117.4,109.0
,Collin Sexton,Cha,*,G,26.9,12,26.2,24.5,22.3,54,0.852,81,0.506,44,0.432,0.556,0.622,15.4,2.3,5.0,0.8,0.0,3.0,17.8,20.4,22.8,8.6,115.4,114.1
,Sion James,Cha,*,G,23.0,13,26.9,11.0,14.2,19,0.842,31,0.484,41,0.488,0.625,0.66,8.2,3.0,1.5,0.8,0.3,0.9,11.2,9.6,12.6,5.0,124.8,117.1
,Moussa Diabate,Cha,*,F,23.8,13,23.0,14.9,11.7,51,0.706,75,0.667,0,0.0,0.667,0.698,10.5,8.0,1.0,0.7,1.3,0.8,18.5,11.5,19.5,7.6,149.2,109.8
,Tidjane Salaun,Cha,*,F,20.3,7,11.9,12.3,13.5,6,0.667,7,0.429,12,0.333,0.474,0.508,3.1,3.6,0.7,0.3,0.1,0.4,6.7,3.9,7.4,6.7,112.1,110.1
,Tre Mann,Cha,*,G,24.8,13,22.7,25.1,15.7,13,0.923,74,0.405,71,0.31,0.434,0.458,10.6,3.3,3.3,0.6,0.2,2.1,13.9,13.9,17.2,8.6,96.0,112.4
,Andrew Wiggins,Mia,*,F,30.7,13,32.9,21.1,14.1,35,0.657,111,0.586,66,0.379,0.579,0.593,17.5,4.9,2.8,1.2,0.9,2.2,22.5,20.4,25.3,7.6,111.0,112.5
,Nikola Jovic,Mia,*,F,22.4,13,21.8,19.5,20.8,35,0.743,48,0.521,47,0.298,0.484,0.534,9.1,4.6,3.2,0.7,0.5,1.9,13.7,12.3,16.9,9.4,103.6,105.6
,Bam Adebayo,Mia,*,C-F,28.3,8,30.4,26.2,11.4,36,0.861,77,0.519,47,0.34,0.516,0.569,19.9,8.1,2.9,1.0,0.3,2.0,28.0,22.8,30.9,10.2,110.1,110.4
,Norman Powell,Mia,*,G,32.5,10,31.3,28.5,11.8,73,0.932,91,0.484,73,0.479,0.588,0.665,26.1,4.1,2.3,1.2,0.2,2.2,30.2,28.4,32.5,8.0,122.3,111.9
,Davion Mitchell,Mia,*,G,27.2,13,30.6,13.9,17.3,20,0.55,66,0.561,39,0.385,0.567,0.571,10.0,2.8,7.6,1.5,0.1,1.7,12.8,17.6,20.5,7.8,121.6,110.4
,Jaime Jaquez Jr.,Mia,*,G,24.7,13,30.2,22.4,11.5,54,0.778,144,0.59,25,0.2,0.547,0.589,17.5,7.3,5.2,0.7,0.3,1.7,24.8,22.7,30.0,11.6,121.7,110.3
,Kel'el Ware,Mia,*,C,21.6,13,24.0,16.8,11.0,23,0.783,70,0.6,35,0.371,0.586,0.612,10.8,9.2,0.7,1.0,1.4,1.0,20.1,11.5,20.8,6.9,124.2,105.5
,Simone Fontecchio,Mia,*,F,29.9,13,18.9,19.5,11.1,21,0.857,29,0.517,67,0.493,0.672,0.698,11.3,2.5,1.0,0.5,0.2,0.9,13.8,12.3,14.8,6.4,125.1,108.8
,Dru Smith,Mia,*,G,27.9,13,16.7,14.9,16.1,12,0.833,35,0.571,27,0.333,0.54,0.572,5.9,1.9,3.3,1.5,0.2,0.9,7.8,9.2,11.2,8.0,122.6,108.0
,Pelle Larsson,Mia,*,G,24.7,13,21.5,16.2,15.1,27,0.815,44,0.705,40,0.375,0.637,0.673,9.9,2.4,2.7,0.5,0.2,1.2,12.3,12.6,15.0,7.4,125.6,112.4
,Franz Wagner,Orl,*,F,24.2,13,35.3,25.2,11.4,92,0.837,147,0.517,62,0.355,0.522,0.591,22.7,6.4,3.8,1.1,0.5,2.1,29.1,26.5,32.9,9.3,122.6,108.8
,Paolo Banchero,Orl,*,F,23.0,12,32.8,27.5,15.2,111,0.766,134,0.53,44,0.25,0.492,0.573,21.7,8.7,4.1,0.8,0.9,2.7,30.3,25.8,34.4,11.2,114.6,106.0
,Wendell Carter Jr.,Orl,*,C-F,26.6,13,29.3,16.3,22.6,47,0.787,63,0.587,36,0.444,0.616,0.664,12.2,7.5,1.8,0.6,0.7,2.2,19.7,14.0,21.5,7.5,122.9,102.3
,Desmond Bane,Orl,*,G,27.4,13,31.6,22.6,14.6,38,0.895,115,0.496,60,0.317,0.489,0.535,15.8,4.3,4.5,0.4,0.3,2.3,20.1,20.2,24.5,8.5,109.3,106.8
,Jalen Suggs,Orl,*,G,24.5,10,22.1,22.7,27.7,26,0.885,33,0.727,45,0.4,0.654,0.699,12.5,3.9,4.4,1.6,0.3,3.0,16.4,16.9,20.8,10.8,117.2,97.0
,Tyus Jones,Orl,*,G,29.5,13,12.5,9.3,13.9,0,0.0,14,0.5,17,0.118,0.323,0.323,1.5,0.8,1.4,0.7,0.2,0.4,2.4,2.9,3.8,3.8,87.7,111.1
,Jonathan Isaac,Orl,*,F,28.1,12,9.4,12.8,10.2,12,0.667,10,0.7,16,0.188,0.442,0.496,2.6,2.6,0.1,0.5,0.4,0.3,5.2,2.7,5.3,3.7,107.8,105.2
,Anthony Black,Orl,*,G,21.8,13,25.7,19.0,20.4,33,0.697,65,0.554,44,0.318,0.523,0.555,10.5,3.0,2.3,1.2,0.7,2.2,13.5,12.8,15.8,6.5,101.2,106.9
,Goga Bitadze,Orl,*,C-F,26.3,13,16.9,11.2,14.5,25,0.76,35,0.771,6,0.333,0.732,0.76,6.1,5.2,1.2,0.5,1.3,0.5,11.2,7.2,12.4,8.0,151.6,101.2
,Tristan da Silva,Orl,*,F,24.5,13,21.9,19.2,9.9,22,0.818,46,0.587,63,0.413,0.606,0.632,11.5,3.7,0.9,0.8,0.2,0.9,15.2,12.5,16.2,6.2,122.6,111.9
,Brandon Ingram,Tor,*,F,28.2,13,33.1,25.4,13.7,60,0.883,146,0.582,55,0.255,0.527,0.583,20.4,6.0,3.8,0.9,0.6,2.5,26.4,24.2,30.2,9.4,111.4,110.3
,Scottie Barnes,Tor,*,F-G,24.3,13,32.5,24.1,11.3,48,0.813,144,0.535,51,0.412,0.556,0.592,19.7,7.8,5.2,1.5,1.8,1.9,27.5,24.9,32.8,11.4,121.6,105.3
,Jakob Poeltl,Tor,*,C,30.1,9,24.7,15.8,15.9,33,0.545,58,0.707,0,0.0,0.707,0.689,11.1,7.3,1.8,0.7,0.7,1.2,18.4,12.9,20.2,8.5,136.6,102.0
,RJ Barrett,Tor,*,F-G,25.4,13,31.5,23.7,10.1,54,0.722,116,0.603,70,0.343,0.57,0.598,19.3,5.1,4.0,0.8,0.3,1.6,24.4,23.3,28.4,9.3,118.8,109.8
,Immanuel Quickley,Tor,*,G,26.4,13,31.3,20.3,12.3,41,0.756,76,0.553,80,0.375,0.558,0.589,15.8,4.3,6.2,1.2,0.0,1.7,20.1,22.0,26.3,9.6,121.2,112.0
,Ochai Agbaji,Tor,*,G,25.6,9,13.9,10.6,10.6,8,0.625,13,0.615,12,0.083,0.38,0.421,2.7,2.1,0.7,0.6,0.1,0.3,4.8,3.3,5.4,4.6,91.8,104.9
,Sandro Mamukelashvili,Tor,*,F-C,26.5,12,18.1,17.6,13.7,25,0.8,40,0.7,29,0.448,0.688,0.719,9.6,3.6,1.9,0.5,0.4,0.9,13.2,11.5,15.1,8.9,136.2,109.3
,Gradey Dick,Tor,*,G-F,22.0,13,16.5,17.7,6.3,26,0.808,30,0.533,44,0.341,0.52,0.574,7.5,2.3,0.5,0.5,0.0,0.4,9.8,8.1,10.4,5.0,115.9,114.9
