RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Jamal Shead,Tor,*,G,23.3,13,17.9,15.7,18.7,16,0.813,28,0.429,37,0.432,0.554,0.59,6.5,1.7,5.1,0.7,0.0,1.2,8.2,11.6,13.3,8.6,125.4,107.9
,Jonathan Mogbo,Tor,*,F,24.0,7,5.0,8.4,14.3,0,0.0,6,0.5,0,0.0,0.5,0.5,0.9,1.3,0.6,0.1,0.3,0.1,2.1,1.4,2.7,7.1,126.7,105.7
,Jamison Battle,Tor,*,F,24.5,10,7.3,14.3,16.0,0,0.0,6,0.667,15,0.733,0.976,0.976,4.1,1.1,0.2,0.2,0.1,0.4,5.2,4.3,5.4,5.3,139.6,112.1
,Zaccharie Risacher,Atl,*,F,20.6,11,24.6,20.6,7.2,19,0.684,65,0.585,50,0.34,0.552,0.567,12.7,2.6,1.3,1.1,0.6,0.8,15.4,14.0,16.6,5.7,110.0,110.4
,Jalen Johnson,Atl,*,F,23.9,11,32.3,25.2,16.3,51,0.804,128,0.633,31,0.355,0.613,0.65,21.5,9.5,6.3,1.8,0.3,2.8,31.0,27.7,37.3,13.5,122.8,103.9
,Kristaps Porzingis,Atl,*,F-C,30.3,9,25.8,26.5,8.0,51,0.863,69,0.507,45,0.311,0.491,0.572,17.3,5.7,3.7,0.6,1.6,1.1,23.0,21.0,26.7,11.1,123.8,104.6
,Dyson Daniels,Atl,*,G,22.7,13,32.5,14.0,18.9,20,0.6,95,0.474,12,0.25,0.463,0.479,8.5,5.6,5.4,2.2,0.5,1.9,14.2,13.9,19.5,7.8,105.9,107.3
,Trae Young,Atl,*,G,27.2,5,27.8,29.4,12.4,39,0.821,44,0.477,26,0.192,0.407,0.511,17.8,2.0,7.8,0.8,0.2,2.0,19.8,25.6,27.6,9.4,112.2,112.6
,Nickeil Alexander-Walker,Atl,*,G,27.2,11,29.9,24.9,16.8,51,0.863,81,0.519,62,0.323,0.503,0.568,17.1,2.8,3.5,1.0,1.0,2.6,19.9,20.5,23.4,7.4,106.1,113.3
,Keaton Wallace,Atl,*,G,26.7,12,16.4,13.2,16.6,4,0.5,21,0.429,29,0.414,0.54,0.541,4.7,2.0,3.2,0.8,0.2,0.8,6.7,7.8,9.8,7.6,112.0,106.9
,Luke Kennard,Atl,*,G,29.4,11,23.9,14.5,17.6,13,0.923,30,0.567,40,0.45,0.629,0.66,9.1,2.4,1.9,1.1,0.1,1.4,11.5,11.0,13.4,5.8,117.2,112.7
,Onyeka Okongwu,Atl,*,F-C,24.9,13,28.7,19.9,12.8,46,0.739,83,0.578,53,0.396,0.585,0.618,14.8,8.2,2.3,0.8,1.0,1.5,23.0,17.2,25.3,9.1,120.6,100.9
,Mouhamed Gueye,Atl,*,F,23.0,13,17.0,16.3,13.5,10,0.5,38,0.684,32,0.313,0.586,0.585,6.7,4.0,1.5,0.5,0.6,0.8,10.7,8.2,12.2,8.1,114.9,104.2
,Kelly Oubre Jr.,Phi,*,F-G,29.9,12,34.8,18.3,10.8,38,0.789,82,0.622,67,0.343,0.574,0.606,16.8,5.1,1.3,1.1,0.8,1.5,21.8,18.1,23.2,5.5,118.3,111.8
,Dominick Barlow,Phi,*,F,22.5,3,26.4,13.5,21.4,6,0.833,12,0.583,6,0.333,0.556,0.606,8.3,6.7,2.7,0.0,1.0,1.7,15.0,11.0,17.7,8.1,127.8,113.4
,Joel Embiid,Phi,*,C-F,31.7,6,23.3,35.1,15.5,35,0.829,59,0.525,28,0.321,0.511,0.576,19.7,5.5,3.3,0.8,1.5,2.7,25.2,23.0,28.5,12.2,113.3,107.8
,VJ Edgecombe,Phi,*,G,20.3,12,37.3,19.2,12.4,31,0.774,103,0.427,66,0.379,0.482,0.512,15.6,5.7,4.2,1.3,0.4,2.0,21.3,19.8,25.4,7.7,110.3,111.3
,Tyrese Maxey,Phi,*,G,25.0,12,40.4,30.2,9.7,95,0.884,170,0.476,110,0.418,0.536,0.597,32.0,5.1,7.8,1.4,0.8,2.5,37.1,39.8,44.9,10.7,125.9,112.6
,Quentin Grimes,Phi,*,G,25.5,12,30.9,22.0,21.9,53,0.83,61,0.557,74,0.392,0.574,0.628,16.6,4.0,4.4,0.9,0.5,3.2,20.6,21.0,25.0,8.6,113.7,111.3
,Adem Bona,Phi,*,F,22.6,12,14.8,8.0,25.7,16,0.5,19,0.474,1,0.0,0.45,0.481,2.2,3.4,0.3,0.4,1.7,0.6,5.6,2.4,5.8,3.5,104.0,107.9
,Jabari Walker,Phi,*,F,23.3,12,12.8,11.9,11.8,5,0.8,25,0.56,12,0.167,0.459,0.485,3.2,3.1,0.4,0.2,0.3,0.4,6.3,3.6,6.7,4.9,112.4,104.9
,Justin Edwards,Phi,*,F,21.9,10,13.6,16.3,9.5,3,1.0,13,0.615,34,0.471,0.681,0.693,6.7,1.5,0.9,0.2,0.2,0.5,8.2,7.6,9.1,6.1,133.2,105.7
,Andre Drummond,Phi,*,C,32.3,11,21.5,13.0,9.2,20,0.6,45,0.644,14,0.429,0.644,0.649,8.0,8.8,0.8,0.7,0.9,0.5,16.8,8.8,17.6,7.1,141.7,104.2
,Jaylen Brown,Bos,*,G-F,29.1,13,31.6,34.6,14.6,75,0.787,186,0.575,72,0.361,0.566,0.603,27.0,5.1,4.2,0.7,0.2,3.4,32.1,31.2,36.2,10.5,114.8,106.7
,Sam Hauser,Bos,*,F,27.9,13,22.6,15.0,8.8,4,0.75,11,0.182,82,0.341,0.473,0.48,7.0,3.3,1.3,0.5,0.3,0.7,10.3,8.3,11.6,5.5,104.6,115.4
,Neemias Queta,Bos,*,C,26.3,13,23.9,13.9,14.4,26,0.615,74,0.676,3,0.0,0.649,0.656,8.9,8.1,1.6,0.8,1.4,1.0,17.0,10.5,18.6,8.1,135.1,99.1
,Payton Pritchard,Bos,*,G,27.8,13,31.8,20.8,9.6,33,0.788,74,0.622,96,0.281,0.509,0.539,15.3,4.0,5.2,0.8,0.0,1.4,19.3,20.5,24.5,8.6,119.7,113.5
,Derrick White,Bos,*,G,31.4,13,32.4,23.2,7.4,36,0.806,86,0.43,113,0.292,0.435,0.47,15.5,3.7,5.2,1.8,1.2,1.2,19.2,20.7,24.4,8.2,110.2,113.7
,Xavier Tillman,Bos,*,F,26.8,7,8.7,13.3,5.3,0,0.0,10,0.7,8,0.25,0.556,0.556,2.9,2.4,0.6,0.4,0.1,0.1,5.3,3.4,5.9,7.4,131.8,102.9
,Josh Minott,Bos,*,F,23.0,12,20.9,15.5,10.7,17,0.824,37,0.595,38,0.342,0.553,0.588,8.1,5.7,1.5,1.2,0.4,0.8,13.8,9.6,15.3,7.9,128.5,102.8
,Anfernee Simons,Bos,*,G,26.4,13,25.4,23.6,8.6,20,0.9,66,0.424,94,0.404,0.531,0.557,14.5,2.2,2.4,0.5,0.2,1.2,16.7,16.8,19.1,6.7,114.9,112.1
,Chris Boucher,Bos,*,F,32.8,7,10.9,13.3,4.3,2,1.0,10,0.6,12,0.083,0.341,0.372,2.4,2.4,0.3,0.6,0.7,0.1,4.9,2.7,5.1,4.4,88.5,91.1
,Luka Garza,Bos,*,C,26.9,12,14.2,17.2,8.3,21,0.762,36,0.667,19,0.316,0.6,0.638,6.8,4.2,0.9,0.3,0.5,0.4,11.0,7.8,11.9,8.3,143.1,95.6
,Ausar Thompson,Det,*,G-F,22.8,10,29.1,20.5,10.8,39,0.487,102,0.529,13,0.308,0.522,0.526,13.9,6.6,3.4,1.8,0.7,1.4,20.5,17.3,23.9,9.3,113.1,102.7
,Tobias Harris,Det,*,F,33.3,6,32.2,18.3,10.1,18,0.944,43,0.465,28,0.286,0.451,0.513,13.5,6.0,2.8,0.8,0.2,1.3,19.5,16.3,22.3,7.6,110.7,105.3
,Jalen Duren,Det,*,C,22.0,11,29.0,22.8,18.4,73,0.808,119,0.647,0,0.0,0.647,0.705,19.4,12.0,1.6,1.0,1.2,2.5,31.4,21.0,33.0,9.9,133.1,98.8
,Duncan Robinson,Det,*,F,31.6,13,32.1,13.3,6.3,21,0.762,29,0.517,90,0.433,0.618,0.636,12.5,2.8,1.8,0.8,0.4,0.6,15.4,14.3,17.2,5.0,130.2,109.2
,Cade Cunningham,Det,*,G,24.1,11,37.0,32.1,14.1,86,0.802,170,0.5,73,0.288,0.479,0.538,27.5,5.4,9.9,1.4,0.8,3.6,32.8,37.4,42.7,12.3,115.1,105.5
,Isaiah Stewart,Det,*,F-C,24.5,10,23.0,18.5,10.5,21,0.667,54,0.556,31,0.387,0.565,0.584,11.0,6.7,1.5,0.2,1.9,1.0,17.7,12.5,19.2,8.3,122.4,101.3
,Caris LeVert,Det,*,G,31.2,9,20.1,18.8,18.6,19,0.632,34,0.559,27,0.444,0.607,0.62,9.6,1.3,3.0,0.7,0.4,1.6,10.9,12.6,13.9,6.7,115.1,111.4
,Ronald Holland II,Det,*,F,20.4,13,23.8,19.5,17.3,22,0.864,69,0.449,45,0.289,0.443,0.485,9.2,3.8,1.8,1.8,0.2,1.8,13.1,11.1,14.9,6.7,96.1,100.4
,Paul Reed,Det,*,F,26.4,11,12.8,19.5,20.2,8,0.5,44,0.705,7,0.571,0.725,0.715,7.1,4.8,1.2,1.1,0.9,1.2,11.9,8.3,13.1,10.8,127.8,95.0
,Javonte Green,Det,*,G,32.3,13,22.6,14.4,11.1,31,0.71,38,0.421,42,0.31,0.444,0.497,7.2,3.8,1.3,1.1,0.5,0.8,11.0,8.5,12.3,5.8,109.0,108.5
,Isaac Okoro,Chi,*,F-G,24.8,11,24.5,14.5,16.2,17,0.882,38,0.526,34,0.382,0.549,0.591,8.5,2.7,1.8,0.5,0.7,1.3,11.3,10.4,13.1,5.6,115.2,108.8
,Matas Buzelis,Chi,*,F,21.1,11,28.7,21.2,16.3,30,0.867,73,0.534,50,0.4,0.561,0.602,14.9,5.6,1.2,0.8,1.0,2.2,20.5,16.1,21.7,6.5,108.0,108.1
,Nikola Vucevic,Chi,*,C,35.1,11,30.8,20.7,13.3,23,0.739,92,0.543,45,0.444,0.584,0.602,16.1,9.9,3.6,0.7,0.3,1.9,26.0,19.7,29.6,10.8,120.5,109.7
,Tre Jones,Chi,*,G,25.9,11,29.9,17.5,15.6,52,0.846,80,0.525,17,0.353,0.526,0.609,13.3,4.0,5.5,2.1,0.2,1.6,17.3,18.7,22.7,8.9,127.7,111.8
,Josh Giddey,Chi,*,G,23.1,9,34.1,27.7,17.2,53,0.755,110,0.491,39,0.385,0.513,0.56,21.4,9.7,9.3,1.0,0.3,3.4,31.1,30.8,40.4,14.6,116.4,111.7
,Kevin Huerter,Chi,*,G-F,27.2,11,26.1,21.8,13.7,27,0.815,65,0.677,54,0.315,0.584,0.615,14.6,3.9,3.0,1.0,1.0,1.7,18.5,17.6,21.5,8.5,117.0,109.5
,Ayo Dosunmu,Chi,*,G,25.8,9,25.4,20.7,9.7,23,0.913,56,0.554,37,0.459,0.608,0.65,14.9,2.6,3.0,0.8,0.1,1.1,17.4,17.9,20.4,7.7,127.9,114.7
,Patrick Williams,Chi,*,F,24.2,11,23.0,14.7,14.8,18,0.667,27,0.481,42,0.405,0.558,0.579,8.1,3.1,1.5,1.2,0.5,1.1,11.2,9.6,12.7,5.8,111.5,112.1
,Jalen Smith,Chi,*,F-C,25.7,11,15.8,24.0,11.9,18,0.667,39,0.59,42,0.405,0.599,0.613,9.9,6.0,1.2,0.2,0.3,1.0,15.9,11.1,17.1,10.5,122.5,104.4
,Dalen Terry,Chi,*,F,23.3,7,5.9,12.8,9.8,6,0.5,7,0.429,2,0.5,0.5,0.515,1.7,0.4,0.6,0.1,0.3,0.1,2.1,2.3,2.7,5.0,110.4,112.1
,Trey Murphy III,Nor,*,F,25.4,12,36.1,21.6,10.8,41,0.927,87,0.563,95,0.358,0.549,0.595,19.8,6.8,3.4,1.3,0.2,1.8,26.7,23.3,30.1,8.5,121.5,119.6
,Zion Williamson,Nor,*,F,25.4,5,31.5,32.2,17.8,57,0.667,78,0.487,0,0.0,0.487,0.553,22.8,6.8,4.6,2.0,0.2,3.4,29.6,27.4,34.2,11.3,111.7,117.0
,Yves Missi,Nor,*,C,21.5,7,18.3,12.2,26.4,16,0.563,22,0.682,0,0.0,0.682,0.671,5.6,4.9,1.1,0.1,1.0,1.1,10.4,6.7,11.6,6.8,126.7,117.7
,Herbert Jones,Nor,*,F,27.1,12,30.7,15.4,14.9,17,0.647,52,0.462,56,0.393,0.528,0.541,10.4,3.8,2.5,1.3,0.3,1.6,14.2,12.9,16.7,6.0,107.2,114.9
,Jordan Poole,Nor,*,G,26.4,7,30.3,25.5,13.1,32,0.969,40,0.375,59,0.339,0.455,0.535,17.3,1.7,3.4,0.3,0.3,2.1,19.0,20.7,22.4,6.1,109.2,121.3
,Saddiq Bey,Nor,*,G-F,26.6,12,27.4,18.1,5.4,25,0.72,58,0.466,65,0.4,0.537,0.56,12.5,4.6,2.1,0.7,0.0,0.6,17.1,14.6,19.2,7.2,123.6,123.9
,Hunter Dickinson,Nor,*,C,25.0,1,4.7,35.9,50.0,0,0.0,2,0.5,0,0.0,0.5,0.5,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,43.1,84.5
,Jordan Hawkins,Nor,*,G,23.6,11,14.0,16.5,7.0,7,0.714,23,0.304,30,0.267,0.358,0.383,3.9,1.7,0.5,0.2,0.0,0.4,5.6,4.5,6.2,4.3,87.0,125.2
,Jeremiah Fears,Nor,*,G,19.1,12,26.5,25.9,15.9,31,0.839,110,0.464,43,0.349,0.48,0.519,14.4,2.9,3.1,2.0,0.0,2.4,17.3,17.5,20.4,7.6,101.3,116.4
,Derik Queen,Nor,*,C,20.9,12,22.1,22.6,19.8,37,0.757,91,0.527,10,0.1,0.49,0.541,10.6,6.0,2.3,1.0,0.6,2.1,16.6,12.9,18.9,9.5,105.7,108.4
,Kentavious Caldwell-Pope,Mem,*,G,32.7,14,23.4,16.3,13.6,28,0.893,54,0.407,47,0.298,0.426,0.49,7.9,2.6,3.1,0.8,0.3,1.1,10.5,11.0,13.6,6.8,102.7,115.5
,Jaren Jackson Jr.,Mem,*,F-C,26.2,14,28.7,24.7,13.7,66,0.803,121,0.529,61,0.377,0.541,0.592,17.9,5.2,1.4,0.5,1.4,2.1,23.1,19.2,24.4,7.1,107.5,104.9
,Jock Landale,Mem,*,C,30.1,14,24.4,15.6,13.4,23,0.696,68,0.588,35,0.457,0.621,0.636,10.3,5.4,1.7,0.6,0.4,1.1,15.7,12.0,17.4,7.5,123.5,107.7
,Jaylen Wells,Mem,*,F,22.2,14,25.3,18.2,8.2,21,0.667,60,0.467,74,0.284,0.444,0.464,9.5,3.6,1.5,0.6,0.0,0.9,13.1,11.0,14.6,5.9,97.6,113.3
,Ja Morant,Mem,*,G,26.3,12,28.8,32.4,18.7,69,0.942,135,0.444,60,0.167,0.385,0.477,17.9,3.5,7.6,1.0,0.1,3.8,21.4,25.5,29.0,10.8,97.6,112.7
,Olivier-Maxence Prosper,Mem,*,F,23.4,9,8.5,16.8,16.4,16,1.0,15,0.667,5,0.0,0.5,0.666,4.0,2.0,0.6,0.1,0.1,0.4,6.0,4.6,6.6,7.9,132.8,115.1
,Santi Aldama,Mem,*,F-C,24.8,14,25.6,21.0,10.8,33,0.576,85,0.576,64,0.313,0.53,0.541,12.6,6.9,2.4,1.1,0.6,1.3,19.5,15.1,21.9,9.3,108.3,111.1
,Javon Small,Mem,*,G,22.9,8,12.4,16.9,22.0,10,0.8,9,0.444,19,0.316,0.464,0.525,4.3,1.0,2.8,0.0,0.1,1.0,5.3,7.0,8.0,7.4,106.0,116.3
,Cedric Coward,Mem,*,G,22.2,14,26.7,19.1,11.2,50,0.9,72,0.569,62,0.371,0.563,0.628,14.0,6.1,3.0,0.9,0.4,1.2,20.1,17.0,23.1,9.5,126.8,111.4
,Cam Spencer,Mem,*,G,25.6,14,18.7,17.3,12.2,26,0.885,26,0.346,60,0.45,0.576,0.626,8.7,2.0,3.0,0.7,0.1,0.9,10.7,11.7,13.7,8.0,123.5,112.9
,John Konchar,Mem,*,G,29.7,12,11.5,8.0,15.1,1,1.0,8,0.75,14,0.429,0.682,0.691,2.6,2.3,0.9,0.8,0.4,0.3,4.8,3.5,5.8,6.1,126.9,110.3
,Khris Middleton,Was,*,F,34.3,9,24.5,17.6,17.0,14,0.643,48,0.542,25,0.32,0.521,0.537,9.4,3.8,2.4,0.9,0.2,1.7,13.2,11.9,15.7,7.2,105.6,114.5
,Kyshawn George,Was,*,F,21.9,11,30.9,21.5,21.2,27,0.667,71,0.549,59,0.441,0.6,0.613,15.8,6.1,4.5,1.0,1.0,3.2,21.9,20.4,26.5,9.8,107.9,110.6
,Alexandre Sarr,Was,*,C,20.6,12,29.5,26.1,14.9,36,0.722,140,0.579,37,0.351,0.568,0.589,18.9,8.6,3.8,0.8,2.3,2.6,27.5,22.8,31.3,11.5,114.4,119.5
,CJ McCollum,Was,*,G,34.2,12,29.3,24.0,9.7,42,0.81,85,0.4,83,0.373,0.479,0.523,16.3,3.3,3.3,0.7,0.3,1.5,19.6,19.6,22.9,7.7,108.2,122.4
,Bub Carrington,Was,*,G,20.3,12,27.4,14.8,28.5,14,0.714,44,0.227,36,0.444,0.425,0.453,6.5,4.0,4.5,0.7,0.2,2.7,10.5,11.0,15.0,7.1,87.4,118.4
,Marvin Bagley III,Was,*,F,26.7,12,14.5,17.6,16.6,18,0.722,49,0.694,6,0.5,0.7,0.715,7.5,4.3,1.3,0.5,0.6,0.9,11.8,8.8,13.1,9.6,136.7,111.1
,Tre Johnson,Was,*,G,19.7,12,25.8,19.8,13.3,16,0.875,60,0.467,63,0.397,0.533,0.558,12.1,3.5,1.4,0.3,0.5,1.6,15.6,13.5,17.0,6.0,103.4,122.7
,Cam Whitmore,Was,*,F,21.4,12,17.3,22.7,11.3,19,0.737,61,0.541,33,0.303,0.511,0.537,9.2,2.3,0.6,0.9,0.2,1.0,11.5,9.8,12.1,5.4,101.6,120.5
,Corey Kispert,Was,*,F,26.7,12,19.3,15.2,11.6,19,0.737,23,0.696,45,0.4,0.632,0.655,8.3,2.3,1.8,0.2,0.2,0.8,10.7,10.1,12.4,6.7,126.0,123.5
,Justin Champagnie,Was,*,G-F,24.4,11,8.6,13.4,8.2,15,0.8,13,0.385,9,0.222,0.364,0.49,2.5,3.1,0.4,0.4,0.0,0.2,5.6,2.9,6.0,6.8,128.3,112.6
,Will Riley,Was,*,F,19.8,9,7.1,14.5,9.9,6,0.5,14,0.5,4,0.25,0.472,0.484,2.2,1.6,0.8,0.2,0.0,0.2,3.8,3.0,4.6,8.0,109.2,124.1
,AJ Johnson,Was,*,G,21.0,7,5.0,15.1,8.8,4,0.75,8,0.25,2,0.0,0.2,0.298,1.0,0.6,0.6,0.0,0.0,0.1,1.6,1.6,2.1,5.7,85.4,123.7
,Tristan Vukcevic,Was,*,F,22.7,9,5.8,23.2,15.8,10,0.6,11,0.545,10,0.3,0.5,0.531,3.0,0.8,0.4,0.1,0.3,0.4,3.8,3.4,4.2,6.8,99.9,117.4
,Anthony Gill,Was,*,F,33.1,5,2.7,21.3,31.1,2,1.0,3,0.667,1,1.0,0.875,0.922,1.8,0.8,0.0,0.0,0.0,0.4,2.6,1.8,2.6,0.0,0.0,0.0
,Sharife Cooper,Was,*,G,24.4,2,2.1,10.1,100.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
,Gary Trent Jr.,Mil,*,G,26.8,14,27.4,15.8,6.8,18,0.722,37,0.432,86,0.372,0.52,0.538,10.1,1.6,2.1,1.1,0.1,0.6,11.6,12.2,13.8,4.7,109.6,116.9
,Giannis Antetokounmpo,Mil,*,F,30.9,12,33.4,36.4,15.0,129,0.636,220,0.641,18,0.5,0.649,0.663,32.6,11.3,7.1,0.9,1.3,3.5,43.9,39.7,51.0,16.5,130.9,111.2
,Myles Turner,Mil,*,C-F,29.6,14,29.5,17.4,12.4,29,0.69,56,0.482,78,0.41,0.56,0.579,12.1,6.2,1.9,1.1,1.8,1.4,18.4,14.0,20.2,7.1,112.6,110.8
,A.J. Green,Mil,*,G,26.1,14,27.3,13.1,10.2,19,0.789,7,0.714,89,0.472,0.708,0.723,10.8,2.4,1.7,0.4,0.1,0.8,13.2,12.5,14.9,5.2,131.5,112.6
,Kevin Porter Jr.,Mil,*,G-F,25.5,1,9.4,27.1,0.0,2,1.0,2,0.5,3,0.667,0.8,0.85,10.0,0.0,2.0,1.0,0.0,0.0,10.0,12.0,12.0,0.0,177.2,124.1
,Kyle Kuzma,Mil,*,F,30.3,13,26.0,21.0,11.6,41,0.78,86,0.628,43,0.279,0.558,0.598,13.5,4.4,1.7,0.8,0.6,1.3,17.9,15.2,19.6,7.2,114.2,111.9
,Bobby Portis,Mil,*,F,30.8,14,20.4,21.0,13.3,8,0.75,73,0.493,44,0.432,0.551,0.56,9.6,5.5,1.2,0.3,0.1,1.3,15.1,10.9,16.4,7.8,106.4,111.7
,Ryan Rollins,Mil,*,G,23.4,14,31.1,21.8,16.0,30,0.767,103,0.573,70,0.457,0.618,0.636,16.9,3.8,5.4,1.7,0.2,2.4,20.7,22.3,26.1,9.0,120.5,112.4
,Cole Anthony,Mil,*,G,25.5,13,19.4,25.7,18.9,15,0.533,79,0.494,37,0.297,0.478,0.485,9.2,3.5,5.0,0.8,0.4,2.1,12.6,14.2,17.6,11.2,101.7,105.7
,Taurean Prince,Mil,*,F,31.7,8,21.1,11.4,11.5,3,1.0,10,0.5,28,0.429,0.605,0.623,6.1,1.6,1.0,0.8,0.3,0.6,7.8,7.1,8.8,4.1,113.1,111.7
,Amir Coffey,Mil,*,G-F,28.4,13,9.9,7.2,4.9,3,1.0,11,0.545,8,0.25,0.474,0.517,1.6,1.1,0.5,0.0,0.1,0.1,2.7,2.2,3.2,3.9,124.1,121.8
,Jericho Sims,Mil,*,C,27.1,9,6.8,6.9,48.0,4,0.75,4,0.75,0,0.0,0.75,0.781,1.0,1.8,0.3,0.1,0.2,0.4,2.8,1.3,3.1,4.8,132.5,112.5
,Gary Harris,Mil,*,G,31.2,7,10.0,9.9,12.5,0,0.0,6,0.5,8,0.5,0.643,0.643,2.6,0.6,0.6,0.7,0.3,0.3,3.1,3.1,3.7,3.9,119.4,116.3
,Andre Jackson Jr.,Mil,*,G,24.0,6,3.7,7.8,50.0,0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.3,1.0,0.3,0.2,0.3,0.3,1.0,1.3,0.0,0.0,0.0
,Thanasis Antetokounmpo,Mil,*,F,33.3,4,2.3,9.5,0.0,0,0.0,2,0.5,0,0.0,0.5,0.5,0.5,0.3,0.0,0.3,0.5,0.0,0.8,0.5,0.8,0.0,0.0,0.0
,Derrick Jones Jr.,Lac,*,F,28.8,12,26.1,15.3,9.3,28,0.786,43,0.744,44,0.341,0.626,0.659,10.9,2.5,1.2,0.9,1.1,0.8,13.4,12.1,14.6,4.9,130.4,116.4
,Kawhi Leonard,Lac,*,F,34.4,6,33.5,28.2,9.4,27,0.963,70,0.557,35,0.4,0.571,0.625,24.3,5.7,3.5,2.5,0.7,1.8,30.0,27.8,33.5,9.4,123.6,116.9
,Ivica Zubac,Lac,*,C,28.7,12,31.1,21.0,17.4,36,0.722,133,0.632,0,0.0,0.632,0.652,16.2,10.5,2.3,0.5,1.1,2.3,26.7,18.4,28.9,9.4,123.7,111.7
,Bradley Beal,Lac,*,G,32.4,6,20.2,22.2,15.7,8,0.75,29,0.379,19,0.368,0.448,0.476,8.2,0.8,1.7,0.5,0.0,1.5,9.0,9.8,10.7,4.4,92.4,114.5
,James Harden,Lac,*,G,36.2,11,35.9,28.8,19.2,76,0.908,78,0.551,102,0.392,0.572,0.644,25.0,6.3,9.1,0.9,0.5,3.9,31.3,34.1,40.4,12.6,124.8,117.4
,John Collins,Lac,*,F-C,28.1,12,24.8,21.7,19.4,26,0.769,76,0.566,32,0.344,0.551,0.582,11.6,4.8,0.8,1.0,0.6,2.2,16.4,12.3,17.2,5.7,103.1,113.5
,Kris Dunn,Lac,*,G,31.7,12,25.7,13.3,18.5,14,0.714,42,0.571,28,0.357,0.557,0.578,7.3,2.4,2.2,1.7,0.3,1.3,9.8,9.5,11.9,5.3,111.4,112.7
,Brook Lopez,Lac,*,C,37.6,12,15.4,20.8,14.4,8,0.625,22,0.591,49,0.347,0.542,0.55,6.8,2.3,0.4,0.3,0.8,1.0,9.2,7.3,9.6,4.8,98.1,111.8
,Chris Paul,Lac,*,G,40.5,8,12.9,14.0,21.6,1,1.0,6,0.167,19,0.263,0.34,0.354,2.3,1.8,3.6,1.1,0.0,0.9,4.0,5.9,7.6,7.6,105.0,107.5
,Nicolas Batum,Lac,*,G-F,36.9,12,17.4,11.2,11.4,2,1.0,5,0.4,41,0.293,0.435,0.448,3.5,2.6,0.8,0.9,0.5,0.5,6.1,4.3,6.9,4.5,96.6,110.6
